shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,country_name,x2019,edu,f_brit,f_french
PRT,0,0.4366667,0,9.181818,9.489486,NA,0,-1.005122,NA,Portugal,34961.94358,9.2,0,0
PRY,0,0.2555556,0,6.954545,8.207947,4.35799,0,-1.771957,1,Paraguay,12685.1134,8.4,0,0
QAT,0,0.2811111,0,7.727273,9.685331,NA,1,NA,NA,Qatar,90043.92618,9.8,1,0
ROM,0,0.5111111,0,7.272727,8.387085,NA,0,-2.180367,NA,NA,NA,NA,0,0
RUS,0,0.6666667,0,8.454545,8.405144,NA,0,-0.8746691,NA,Russia,27043.93539,12,0,0
RWA,1,0.0222222,0,NA,6.476973,5.634789,0,-3.146555,NA,Rwanda,2226.863571,4.1,0,0
SAU,0,0.2777778,0,7.590909,9.2399,NA,1,-0.638659,NA,Saudi Arabia,46962.14906,9.5,0,0
SDN,1,0.1666667,0,4,7.306531,4.479607,0,-2.703063,1,Sudan,3958.46839,3.7,1,0
SEN,1,0.1555556,0,6,7.402452,5.103883,0,-2.631089,1,Senegal,3394.868808,3,0,1
SGP,0,0.0135556,0,9.318182,10.14643,2.873565,1,-0.5008753,1,Singapore,97341.46865,11.5,1,0
SLE,1,0.0922222,0,5.818182,6.253829,6.180017,0,-2.748872,1,Sierra Leone,1718.276712,3.5,1,0
SLV,0,0.15,0,5,7.948032,4.35799,0,-1.851509,1,El Salvador,8775.98652,6.9,0,0
SOM,1,0.1111111,0,3,NA,NA,0,-3.015935,NA,NA,NA,NA,1,0
STP,0,0.0111111,0,8.409091,NA,NA,0,NA,NA,Sao Tome and Principe,3969.563798,6.3,0,0
SUR,0,0.0444444,0,4.681818,8.01,3.471345,0,-1.370421,NA,Suriname,16524.7581,8.5,0,0
SVK,0,0.5377778,0,NA,8.852236,NA,0,NA,NA,Slovakia,31965.76217,12.5,0,0
SVN,0,0.5111111,0,NA,9.300181,NA,0,NA,NA,Slovenia,39037.93196,12.2,0,0
SWE,0,0.6888889,0,9.5,9.866304,NA,0,-0.239527,NA,Sweden,52608.70954,12.4,0,0
SWZ,1,0.2922222,0,NA,8.10772,NA,0,-1.807889,NA,Eswatini,8621.826595,6.5,1,0
SYR,0,0.3888889,0,5.818182,8.029433,NA,1,-0.8255364,NA,Syria,NA,5.1,0,1
TCD,1,0.1666667,0,NA,6.835185,5.634789,0,-3.442019,NA,Chad,1579.626695,2.3,0,1
TGO,1,0.0888889,0,6.909091,7.222566,6.504288,0,-3.218876,1,Togo,1596.644938,4.8,0,1
THA,0,0.1666667,0,7.636364,8.774931,4.941642,1,-1.851509,NA,Thailand,18459.99486,7.6,0,0
TJK,0,0.4333333,0,NA,6.887553,NA,1,NA,NA,Tajikistan,3379.748697,10.4,0,0
TKM,0,0.4444444,0,NA,7.640123,NA,1,NA,NA,Turkmenistan,NA,9.8,0,0
TTO,0,0.1222222,0,7.454545,8.76873,4.442651,0,-0.6971552,1,Trinidad and Tobago,26175.83698,10.9,1,0
TUN,1,0.3777778,0,6.454545,8.482602,4.143135,0,-1.527858,1,Tunisia,10755.60815,7.2,0,1
TUR,0,0.4333333,0,7.454545,8.641179,NA,1,-1.52326,NA,Turkey,28289.0888,8,0,0
TWN,0,NA,0,9.227273,NA,NA,1,-0.809681,NA,NA,NA,NA,,
TZA,1,0.0666667,0,6.636364,6.253829,5.634789,0,-3.442019,1,Tanzania,2660.420338,5.8,0,0
UGA,1,0.0111111,0,4.454545,6.966024,5.634789,0,-3.442019,1,Uganda,2187.464881,6.1,1,0
UKR,0,0.5444444,0,NA,7.811974,NA,0,NA,NA,Ukraine,12810.28945,11.3,0,0
URY,0,0.3666667,0,7,9.031214,4.26268,0,-1.07881,1,Uruguay,21561.06205,8.7,0,0
USA,0,0.4222222,1,10,10.21574,2.70805,0,0,1,United States,62530.38959,13.4,1,0
UZB,0,0.4555556,0,NA,7.807917,NA,1,NA,NA,Uzbekistan,6998.705051,11.5,0,0
VEN,0,0.0888889,0,7.136364,9.071078,4.35799,0,-0.7031975,1,Venezuela,NA,10.3,0,0
VNM,0,0.1777778,0,6.409091,7.279319,4.941642,1,NA,1,Vietnam,8041.178551,8.2,0,1
YEM,0,0.1666667,0,6.363636,6.64639,NA,1,-1.551169,NA,Yemen,NA,3,0,0
YUG,0,0.4888889,0,6.318182,NA,NA,0,-1.203973,NA,NA,NA,NA,0,0
ZAF,1,0.3222222,0,6.863636,8.885994,2.74084,0,-1.386294,1,South Africa,12481.81287,10.1,1,0
ZAR,1,0,0,3.5,6.866933,5.480639,0,-3.411248,1,NA,NA,NA,0,0
ZMB,1,0.1666667,0,6.636364,6.813445,NA,0,-2.97593,NA,Zambia,3470.448801,7,1,0
ZWE,1,0.2222222,0,6,7.696213,NA,0,-2.733368,NA,Zimbabwe,2835.948532,8.2,1,0
